Sample ID	ng/ul 	A260 	A280 	260/280 	260/230 
77-16	11,66	0,233	0,201	1,16	0,29
84-16	139,62	2,792	1,468	1,9	1,4
85-16	194,38	3,888	2,01	1,93	1,45
87-16	198,57	3,971	2,042	1,94	1,52
88-16	216,33	4,327	2,2	1,97	1,44
90-16	106,76	2,135	1,142	1,87	1,16
91-16	99,52	1,99	1,07	1,86	1,16
92-16	130,55	2,611	1,368	1,91	1,44
93-16	240,98	4,82	2,56	1,88	1,76
94-16	40,01	0,8	0,466	1,72	0,82
95-16	65,09	1,302	0,76	1,71	0,89
96-16	101,67	2,033	1,071	1,9	1,34
97-16	176,81	3,536	1,834	1,93	1,56
98-16	126,68	2,534	1,33	1,91	1,4
102-16	237,06	4,741	2,413	1,96	1,53
103-16	204,87	4,097	2,107	1,94	1,63
104-16	37,43	0,749	0,405	1,85	0,87
104-16	59,67	1,193	0,656	1,82	1,07
105-16	67,81	1,356	0,762	1,78	1,05
106-16	264	5,28	2,789	1,89	1,89
112-16	143,03	2,861	1,491	1,92	1,44
113-16	294,79	5,896	3,149	1,87	1,75
114-16	49,04	0,981	0,551	1,78	0,96
116-16	17,67	0,353	0,282	1,25	0,49
117-16	99,91	1,998	1,052	1,9	1,33
118-16	127,6	2,552	1,316	1,94	1,72
119-16	162,29	3,246	1,669	1,94	1,42
121-16	37,83	0,757	0,439	1,72	0,79
122-16	9,14	0,183	0,18	1,01	0,25
123-16	17,47	0,349	0,252	1,39	0,49
126-16	360,06	7,201	4,262	1,69	1,32
126-16	77,53	1,551	0,848	1,83	1,16
126-16b	66,05	1,321	0,715	1,85	1,15
127-16	172,28	3,446	2,012	1,71	1,68
131-16	42,4	0,848	0,482	1,76	0,88
133-16	121,03	2,421	1,281	1,89	1,37
138-16	206,22	4,124	2,127	1,94	1,5
139-16	170,48	3,41	1,849	1,84	1,56
140-16	48,07	0,961	0,54	1,78	0,94
141-16	253,2	5,064	2,615	1,94	1,61
142-16	842,39	16,848	8,93	1,89	1,87
144-16	234,44	4,689	2,42	1,94	1,49
148-16	197,37	3,947	2,14	1,84	1,61
148-16	94,08	1,882	1,003	1,88	1,28
149-16	162,83	3,257	1,767	1,84	1,47
151-16	347,13	6,943	3,529	1,97	1,71
152-16	222,21	4,444	2,274	1,95	1,61
153-16	152,57	3,051	1,595	1,91	1,35
154-16	345,4	6,908	3,931	1,76	1,56
154-16	99,93	1,999	1,07	1,87	1,16
155-16	482,79	9,656	5,57	1,73	1,81
155-16b	30,82	0,616	0,41	1,5	0,64
157-16	66,33	1,327	0,74	1,79	1,03
158-16	282,81	5,656	3,143	1,8	1,63
158-16	108,61	2,172	1,224	1,77	1,24
160-16	248,51	4,97	2,568	1,94	1,63
162-16	62,75	1,255	0,701	1,79	1,03
163-16	9,98	0,2	0,176	1,13	0,29
164-16	20,7	0,414	0,26	1,59	0,51
165-16	17,21	0,344	0,261	1,32	0,44
167-16	467,84	9,357	4,994	1,87	1,6
167-16	447,61	8,952	4,707	1,9	1,64
167-16	297,08	5,942	2,951	2,01	1,71
168-16	234,47	4,689	2,387	1,96	1,54
169-16	193,06	3,861	1,993	1,94	1,51
170-16	218,04	4,361	2,199	1,98	1,62
171-16	909,05	18,181	9,541	1,91	1,9
172-16	2044,09	40,882	22,351	1,83	1,84
177-16a	107,76	2,155	1,15	1,87	1,26
177-16b	54,31	1,086	0,598	1,82	0,88
179-16	29,28	0,586	0,372	1,58	0,59
180-16	71,01	1,42	0,82	1,73	1,08
181-16	112,38	2,248	1,257	1,79	1,21
181-16	71,93	1,439	0,787	1,83	1,04
190-16	28,87	0,577	0,337	1,71	0,65
196-16	16,28	0,326	0,199	1,64	0,44
198-16	149,59	2,992	1,692	1,77	1,32
199-16	130,86	2,617	1,359	1,93	1,43
199-16	92,19	1,844	1,01	1,83	1,28
199-16	61,57	1,231	0,683	1,8	1,02
201-16	425,98	8,52	4,708	1,81	1,87
203-16	237,05	4,741	3,293	1,44	1,21
203-16	1860,12	37,202	24,038	1,55	1,35
203-16	94,73	1,895	1,036	1,83	1,06
203-16	94,31	1,886	1,015	1,86	1,05
203-16	95,83	1,917	1,058	1,81	1,05
209-16	164,12	3,282	1,813	1,81	1,5
Jan 17	72,09	1,442	0,838	1,72	0,95
Mrz 17	133,03	2,661	1,464	1,82	1,32
Mrz 17	88,16	1,763	0,954	1,85	1,16
Apr 17	42,53	0,851	0,479	1,77	0,82
Jul 17	61,63	1,233	0,714	1,73	0,96
Aug 17	45,94	0,919	0,533	1,72	0,82
19-17	65,28	1,306	0,723	1,81	0,95
Dez 17	76,09	1,522	0,862	1,76	0,96
13-17	154,49	3,09	1,692	1,83	1,18
14-17	111,07	2,221	1,172	1,9	1,2
15-17	36,08	0,722	0,445	1,62	0,65
16-17	90,21	1,804	0,992	1,82	1,09
17-17	162,82	3,256	1,749	1,86	1,4
18-17	127,86	2,557	1,418	1,8	1,29
19-18	7,28	0,146	0,116	1,26	0,21
19-18	7,09	0,142	0,12	1,19	0,2
20-18	80,96	1,619	0,902	1,8	1,08
21-18	92,21	1,844	0,981	1,88	1,11
21-18	106,22	2,124	1,169	1,82	1,22
25-18	80,54	1,611	0,875	1,84	0,99
pravi19-17	7,64	0,153	0,14	1,09	0,22
pravi19-17	7,92	0,158	0,124	1,28	0,22
Sep 17	91,65	1,833	1,002	1,83	1,1
21-17	104,88	2,098	1,143	1,84	1,24
24-17a	83,97	1,679	0,929	1,81	1,03
24-17b	94,18	1,884	0,988	1,91	1,11
25-17	204,53	4,091	2,231	1,83	1,5
26-17a	17,94	0,359	0,25	1,44	0,43
26-17b	81,3	1,626	0,859	1,89	1,16
27-17	81,21	1,624	0,949	1,71	1,06
28-17	355,01	7,1	3,78	1,88	1,57
29-17	177,59	3,552	1,838	1,93	1,49
30-17	97,97	1,959	0,982	2	1,19
31-17	85,93	1,719	0,923	1,86	1,1
32-17	236,4	4,728	2,406	1,96	1,63
33-17	194,88	3,898	2,019	1,93	1,41
34-17	353,96	7,079	3,612	1,96	1,49
35-17	231,91	4,638	2,381	1,95	1,46
41-17	210,96	4,219	2,23	1,89	1,44
42-17	186,73	3,735	1,948	1,92	1,43
43-17	205,28	4,106	2,108	1,95	1,5
44-17	30,75	0,615	0,379	1,62	0,61
46-17	290,72	5,814	3,016	1,93	1,57
47-17	208,63	4,173	2,195	1,9	1,42
48-17	286,51	5,73	3,116	1,84	1,81
48-17	44,68	0,894	0,506	1,76	0,86
49-17	205,68	4,114	2,156	1,91	1,58
50-17	147,89	2,958	1,524	1,94	1,3
51-17	71,94	1,439	0,805	1,79	1,15
54-17	83,04	1,661	0,879	1,89	1,2
55-17	282,68	5,654	2,921	1,94	1,63
56-17	169,21	3,384	1,856	1,82	1,19
57-17	296,22	5,924	3,074	1,93	1,52
58-17	130,01	2,6	1,479	1,76	1,43
59-17	89,94	1,799	1,048	1,72	1,21
59-17a	36,62	0,732	0,429	1,71	0,75
59-17b	8,93	0,179	0,16	1,12	0,24
60-17	58	1,16	0,643	1,8	0,95
61-17	146,42	2,928	1,628	1,8	1,3
62-17	7,75	0,155	0,14	1,11	0,2
64-17	241,78	4,836	2,547	1,9	1,39
67-17	75,47	1,509	0,808	1,87	1,07
68-17	57,91	1,158	0,685	1,69	0,7
70-17	178,38	3,568	1,88	1,9	1,35
72-17	28,92	0,578	0,342	1,69	0,66
72-17	76,26	1,525	0,876	1,74	0,98
73-17	102,08	2,042	1,12	1,82	1,3
75-17	6,64	0,133	0,129	1,03	0,2
76-17	483,14	9,663	5,124	1,89	1,91
77-17	205,61	4,112	2,164	1,9	1,39
78-17	37,8	0,756	0,461	1,64	0,61
79-18	12,5	0,25	0,198	1,27	0,35
80-17	43,82	0,876	0,496	1,77	0,83
81-17	5,88	0,118	0,122	0,96	0,17
83-17	335,57	6,711	3,478	1,93	1,51
84-17	292,14	5,843	3,392	1,72	1,3
85-17	631,09	12,622	6,796	1,86	1,68
86-17	204,11	4,082	2,185	1,87	1,71
86-17	108,98	2,18	1,177	1,85	1,36
88-17	-3,95	-0,079	-1,443	0,05	NaN
88-17	51,44	1,029	0,765	1,35	0,54
88-17	59,4	1,188	0,951	1,25	0,6
88-17	29,19	0,584	0,42	1,39	0,43
89-17	247,52	4,95	2,502	1,98	1,55
90-17	4,68	0,094	0,098	0,95	0,14
91-17	15,26	0,305	0,236	1,29	0,3
92-17	126,37	2,527	1,395	1,81	1,44
93-17	415,6	8,312	4,754	1,75	1,32
93-17	239,11	4,782	2,7	1,77	1,3
93-17	161,78	3,236	1,647	1,96	1,39
93-17	190,14	3,803	2,032	1,87	1,36
93-17	176,3	3,526	1,842	1,91	1,39
98-17	136,81	2,736	1,403	1,95	1,45
102-17	64,99	1,3	0,768	1,69	0,74
103-17	311,48	6,23	3,547	1,76	1,31
105-17	16,31	0,326	0,217	1,5	0,45
106-17	55,75	1,115	0,624	1,79	0,78
106-17	97,57	1,951	1,044	1,87	1,16
108-18	117,4	2,348	1,287	1,82	1,22
110-17	114,24	2,285	1,277	1,79	1,08
111-17	93,93	1,879	1,023	1,84	1,07
112-17	82,19	1,644	0,883	1,86	1
117-17	36,88	0,738	0,434	1,7	0,98
123-17	36,15	0,723	0,424	1,71	0,72
124-17	134,36	2,687	1,534	1,75	1,14
124-17	56,9	1,138	0,611	1,86	0,96
125-17	28,38	0,568	0,352	1,61	0,53
126-17	40,83	0,817	0,476	1,72	0,78
129-17	28,14	0,563	0,353	1,59	0,54
130-17	30,44	0,609	0,373	1,63	0,59
132-17	26,25	0,525	0,331	1,58	0,54
133-17	170,52	3,41	1,792	1,9	1,57
134-17	51,04	1,021	0,544	1,87	0,89
137-17	6,49	0,13	0,117	1,11	0,23
138-17	81,46	1,629	0,882	1,85	1,01
139-17	27,11	0,542	0,332	1,63	0,59
145-17	61,45	1,229	0,669	1,84	1
146-17	33,28	0,666	0,372	1,79	0,69
147-17	179,78	3,596	2,006	1,79	1,36
151-17	188,44	3,769	1,955	1,93	1,53
153-17	20,17	0,403	0,244	1,66	0,49
154-17	48,12	0,962	0,584	1,65	0,81
158-17	199,33	3,987	2,105	1,89	1,3
160-18	129,28	2,586	1,397	1,85	1,27
160-17	176,39	3,528	2,052	1,72	1,12
162-17	93,17	1,863	0,971	1,92	1,17
163-17	106,47	2,129	1,147	1,86	1,12
164-17	117,74	2,355	1,249	1,89	1,18
166-17	90,35	1,807	0,969	1,87	1,18
168-17	51,85	1,037	0,577	1,8	0,84
169-17	97,38	1,948	1,056	1,84	1
170-17	74,47	1,489	0,784	1,9	0,98
171-17	121,83	2,437	1,282	1,9	1,23
172-17	28,55	0,571	0,377	1,51	0,53
173-17	39,69	0,794	0,447	1,77	0,69
174-17	71,85	1,437	0,785	1,83	1
175-17	19,55	0,391	0,251	1,56	0,43
176-17	44,22	0,884	0,494	1,79	0,76
179-17	17,13	0,343	0,23	1,49	0,39
181-17	32,23	0,645	0,374	1,72	0,61
182-17	24,34	0,487	0,308	1,58	0,49
183-17	26,5	0,53	0,322	1,65	0,53
184-17	97,94	1,959	1,028	1,91	1,13
188-17	70,37	1,407	0,75	1,88	0,96
189-17	36,74	0,735	0,424	1,73	0,71
190-17	190,52	3,81	2,04	1,87	1,34
191-17	135,67	2,713	1,408	1,93	1,33
192-17	20,72	0,414	0,317	1,31	0,36
201-17	487,82	9,756	5,204	1,87	1,97
202-17	103,26	2,065	1,103	1,87	1,26
203-17	84,53	1,691	0,919	1,84	1,09
202-17	55,83	1,117	0,607	1,84	0,92
204-17	93,39	1,868	1	1,87	1,01
