Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config. 
ua13	Default	18.02.2019	09:40	88,12	1,762	0,918	1,92	0,65	50,00	230	2,702	0,620	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua14	Default	18.02.2019	09:41	102,23	2,045	1,003	2,04	0,93	50,00	230	2,195	0,225	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua15	Default	18.02.2019	09:42	21,22	0,424	0,129	3,30	0,41	50,00	230	1,023	0,039	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua16	Default	18.02.2019	09:43	21,60	0,432	0,169	2,56	0,57	50,00	230	0,764	0,047	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua17	Default	18.02.2019	09:43	15,42	0,308	0,067	4,62	0,31	50,00	230	1,009	0,127	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua18	Default	18.02.2019	09:44	21,87	0,437	0,126	3,46	0,53	50,00	230	0,821	0,066	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua19	Default	18.02.2019	09:44	97,36	1,947	1,076	1,81	0,63	50,00	230	3,111	1,100	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua20	Default	18.02.2019	09:45	57,57	1,151	0,602	1,91	0,56	50,00	230	2,056	0,661	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua21	Default	18.02.2019	09:46	12,30	0,246	0,031	7,93	0,34	50,00	230	0,716	0,076	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua22	Default	18.02.2019	09:46	19,15	0,383	0,108	3,54	0,52	50,00	230	0,735	0,031	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua23	Default	18.02.2019	09:47	97,11	1,942	1,080	1,80	0,63	50,00	230	3,081	0,965	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua24	Default	18.02.2019	09:47	61,69	1,234	0,627	1,97	0,58	50,00	230	2,138	0,575	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua25	Default	18.02.2019	09:48	12,98	0,260	0,017	15,44	0,33	50,00	230	0,794	0,042	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua26	Default	18.02.2019	09:48	49,28	0,986	0,362	2,72	0,60	50,00	230	1,649	0,205	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua27(2)	Default	18.02.2019	09:49	13,38	0,268	-0,005	-51,84	0,29	50,00	230	0,919	0,044	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua28	Default	18.02.2019	09:50	12,09	0,242	-0,005	-44,67	0,27	50,00	230	0,892	0,060	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua29	Default	18.02.2019	09:50	17,91	0,358	0,032	11,06	0,34	50,00	230	1,056	0,074	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua30	Default	18.02.2019	09:51	20,36	0,407	0,042	9,80	0,38	50,00	230	1,066	0,021	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua35	Default	18.02.2019	09:51	15,88	0,318	0,029	11,12	0,30	50,00	230	1,043	0,114	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua40	Default	18.02.2019	09:52	24,86	0,497	0,149	3,34	0,76	50,00	230	0,652	0,059	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua41	Default	18.02.2019	09:52	8,73	0,175	0,021	8,29	0,39	50,00	230	0,444	0,034	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua42	Default	18.02.2019	09:53	19,83	0,397	0,147	2,70	0,63	50,00	230	0,629	0,034	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua43	Default	18.02.2019	09:54	14,10	0,282	0,061	4,60	0,45	50,00	230	0,633	0,042	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua44	Default	18.02.2019	09:54	19,52	0,390	0,112	3,49	0,62	50,00	230	0,633	0,043	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua51	Default	18.02.2019	09:55	9,04	0,181	0,052	3,48	0,50	50,00	230	0,359	-0,101	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua52	Default	18.02.2019	09:55	14,78	0,296	0,077	3,82	0,55	50,00	230	0,533	0,072	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua53	Default	18.02.2019	09:56	13,01	0,260	0,107	2,44	0,47	50,00	230	0,555	0,066	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua54	Default	18.02.2019	09:56	11,10	0,222	0,057	3,88	0,44	50,00	230	0,504	0,029	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua55	Default	18.02.2019	09:57	10,11	0,202	0,048	4,23	0,43	50,00	230	0,472	0,037	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua56	Default	18.02.2019	09:57	7,10	0,142	-0,006	-22,11	0,37	50,00	230	0,384	0,027	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua57	Default	18.02.2019	09:58	17,70	0,354	0,099	3,56	0,52	50,00	230	0,682	0,044	Measure	USB2G20898B8338	1,055106/0,16/128/16
